time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-04-18 09:30:00-04:00,Trend,PEP,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-18 09:30:00-04:00,Trend,PEP,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-18 09:30:00-04:00,Trend,PEP,sell,market,fill,1,gtc,0.0,1,stock,171.22000122070312,200,0.0
2022-04-18 09:30:00-04:00,Trend,PEP,sell,market,fill,1,gtc,0.0,1,stock,171.22000122070312,200,0.0
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,new,1,day,0.0,1,stock,,,
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,new,1,gtc,0.0,1,stock,,,
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,canceled,1,gtc,0.0,1,stock,,,
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,canceled,1,day,0.0,1,stock,,,
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,new,1,day,0.0,1,stock,,,
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,new,1,gtc,0.0,1,stock,,,
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,fill,1,day,0.0,1,stock,170.6999969482422,400,0.0
2022-05-13 09:30:00-04:00,Trend,PEP,buy,market,fill,1,gtc,0.0,1,stock,170.6999969482422,200,0.0
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,new,1,day,0.0,1,stock,,,
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,canceled,1,day,0.0,1,stock,,,
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,canceled,1,gtc,0.0,1,stock,,,
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,new,1,day,0.0,1,stock,,,
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,fill,1,day,0.0,1,stock,160.3300018310547,200,0.0
2022-06-22 09:30:00-04:00,Trend,PEP,sell,market,fill,1,gtc,0.0,1,stock,160.3300018310547,200,0.0
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,canceled,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,fill,1,gtc,0.0,1,stock,170.57000732421875,200,0.0
2022-07-08 09:30:00-04:00,Trend,PEP,buy,market,fill,1,day,0.0,1,stock,170.57000732421875,200,0.0
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,new,1,day,0.0,1,stock,,,
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,new,1,gtc,0.0,1,stock,,,
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,canceled,1,gtc,0.0,1,stock,,,
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,canceled,1,day,0.0,1,stock,,,
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,new,1,day,0.0,1,stock,,,
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,new,1,gtc,0.0,1,stock,,,
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,fill,1,day,0.0,1,stock,170.0500030517578,200,0.0
2022-07-20 09:30:00-04:00,Trend,PEP,sell,market,fill,1,gtc,0.0,1,stock,170.0500030517578,200,0.0
2022-08-12 09:30:00-04:00,Trend,PEP,buy,market,new,1,day,0.0,1,stock,,,
2022-08-12 09:30:00-04:00,Trend,PEP,buy,market,new,1,gtc,0.0,1,stock,,,
2022-08-12 09:30:00-04:00,Trend,PEP,buy,market,canceled,1,gtc,0.0,1,stock,,,
2022-08-12 09:30:00-04:00,Trend,PEP,buy,market,canceled,1,day,0.0,1,stock,,,
2022-08-12 09:30:00-04:00,Trend,PEP,buy,market,new,1,day,0.0,1,stock,,,
2022-08-12 09:30:00-04:00,Trend,PEP,buy,market,new,1,gtc,0.0,1,stock,,,
