Ticker,market_cap
TSLA,25031019271.44
NVDA,18529911241.5
AMD,14981527579.6
AAPL,9907790173.74
MSFT,9746078019.06
AMZN,8431134399.0
META,6373990715.400001
GOOGL,3805831024.65
GOOG,3387432929.1099997
XOM,3061961349.88
PAYC,1667899456.35
RTX,1659446183.5500002
LLY,1627860183.48
AVGO,1594026301.3400002
EL,1586047417.8500001
CVX,1557800536.76
INTC,1555691814.6
UNH,1460581100.4
ADBE,1440123003.0
QCOM,1421302412.92
HUM,1347085250.64
JPM,1310488749.12
PYPL,1307717727.12
SBUX,1305660982.5
ANET,1278716347.44
CVS,1205630181.66
V,1192042304.9
MU,1164402222.0
BAC,1162821712.8
CAT,1143574733.28
ABNB,1116105585.27
BA,1104511315.62
ZTS,1100963651.04
GE,1087380615.75
TXN,1074239443.48
NOW,1050117162.0400001
ON,1009238166.2
TMO,1003724631.72
INTU,998566201.1600001
COP,974296119.57
COST,966231743.9999999
BRK.B,959267031.25
HES,938401770.25
MCD,928159448.0300001
ORCL,909708030.0
MA,889707537.9
PG,882242390.2800001
WDC,874868020.82
BKNG,859489790.84
JNJ,852435755.37
CMCSA,815716204.38
PXD,802230371.46
ETN,798396575.13
KO,796413382.68
HD,787472070.61
WFC,786271571.3
F,747905163.04
CSCO,746411411.7099999
DIS,737167483.2499999
NKE,733636685.6
CRM,732763227.42
SCHW,732227549.9
GS,720404156.36
DD,719164278.84
ADP,718771179.0
DHR,715606880.0
ELV,695338848.32
AMAT,693770637.54
IBM,690661777.4
ADI,688680992.76
FSLR,675109977.08
CMG,673161044.1600001
MS,668989820.4
ABT,663645230.0400001
AMGN,654629365.4799999
T,646614013.5
MTCH,637194079.27
C,634035362.4
LRCX,633316640.4
MPC,624447856.45
TMUS,620401622.85
HON,617988739.83
ENPH,617702204.5500001
LIN,605775886.8000001
IDXX,605714153.6
PANW,602845564.86
MRK,600446630.85
ABBV,599488827.75
ACN,593147988.64
KLAC,590499773.98
ALB,589391422.64
LOW,587292436.72
BMY,578479782.96
MCHP,576605253.12
LMT,573179936.16
DXCM,566367690.7099999
ISRG,564563613.1999999
CI,543141717.51
NEM,519392521.07000005
LULU,518875046.76000005
KHC,518721746.20000005
UNP,507341191.16
FDX,505766138.02
NXPI,498461173.40000004
SPGI,496146579.59999996
CB,491967872.01
GM,486191664.0
CSX,481205916.5
IQV,477411001.35999995
MPWR,467885427.36
ETSY,457647792.84
TJX,447329477.56
SNPS,446498763.48
PH,445386813.87
MAR,436850537.6
GILD,436720834.44
VRSK,433045235.0
CHTR,430572139.92
EOG,421671870.54
SYK,405901320.5
DE,397536538.20000005
O,391083995.19
JCI,390857974.46000004
ALL,388274799.0
CDNS,387704545.84
OXY,385651465.68
VFC,385639516.09999996
SEDG,383905680.73
KVUE,381719370.56
MDT,381191562.7
MO,380135559.3
ODFL,371708162.79999995
BX,371704818.5
PM,371210241.33000004
VRTX,370648138.77
BSX,369686244.06
ROK,368191050.08000004
CME,364344051.68
GNRC,363979037.72999996
ACGL,362847690.0
GD,361740466.8
HUBB,361433383.6
MLM,361341610.11
CTSH,357122277.11999995
CL,356501429.49
DG,354700886.16
CCI,354385215.99
DUK,353194111.6
VMC,350077246.20000005
DVN,349578973.47
DHI,348226411.7
ILMN,347665309.56
SLB,346181736.6
AXP,341603558.45
IR,340775333.37
GIS,339879548.4
AAL,339215094.32
YUM,338197257.8
EA,337288245.78000003
CZR,337010648.0
DTE,335269933.84
FTNT,333865995.65000004
MNST,333603269.65
WBA,333278516.46
BLK,330978098.99
EW,329667205.27
PPL,328270286.5
FCX,326938289.05
MMC,325244158.05
AZO,324852156.0
MSCI,324342612.25
SYY,320759597.6
BKR,319795140.6
AMT,317751683.21999997
APD,317696091.57000005
MMM,316656352.32
AJG,316230050.91
GPN,316018999.5
CEG,315995074.2
MRNA,315434243.40000004
MCO,312893766.71999997
CAH,312706085.78
ECL,311441834.59000003
AEP,310953148.8
GEHC,308852289.6
GRMN,306245812.64
EXC,305245165.33
XEL,304489259.7
PSA,301779048.92
CDAY,301514193.3
CCL,301393871.20000005
CMI,298601376.85
PCG,298073469.44000006
AFL,298028697.45
COR,297313750.8
AIG,297239293.95
NCLH,297191971.0
LEN,293801643.71999997
UAL,291080488.99
ULTA,290812543.0
DAL,290465794.74
ALGN,288156352.2
KDP,287560219.1
ICE,286129214.5
CARR,284333345.65999997
PHM,282185908.74
CLX,279651698.09999996
NRG,278798940.9
AON,274456594.5
FI,274369285.89000005
URI,272357841.88
FANG,271096790.65999997
MRO,270466683.29
ETR,267520733.1
PLD,262695334.39999998
HCA,260981979.12
LHX,260546415.84
KMI,260301466.65000004
DPZ,259009100.37
EQIX,255631067.02
TEL,255418322.68
BK,254963919.48000002
APTV,254624467.84
EBAY,252797435.66
EMR,248359133.16
PCAR,245650876.50000003
D,239326696.79999998
BDX,238881337.54
STZ,238202812.08
APH,236061878.76
KMB,235800208.93
A,234990150.18
LVS,234918252.2
IEX,234311928.88000003
SPG,234066717.22
HST,232090357.2
ANSS,230850715.0
AES,229941676.79999998
FAST,228193717.08999997
WM,226924241.88
DOW,226732160.31
HSY,226550105.6
TRMB,226065285.12
DLR,221122803.87
BALL,220987959.29999998
EQR,219592255.5
COF,219191122.42999998
TTWO,218097989.48
HLT,217578989.53
PEG,217222068.82000002
